"origin_fips","dest_fips","num_migrants","m_i","m_j"
56,35,386,564487,2064552
45,35,388,4635649,2064552
30,35,381,990697,2064552
19,35,327,3050745,2064552
1,35,397,4785437,2064552
31,35,344,1829542,2064552
34,35,314,8799446,2064552
15,35,313,1363963,2064552
21,35,280,4348181,2064552
28,35,274,2970548,2064552
9,35,220,3579114,2064552
46,35,235,816166,2064552
33,35,151,1316762,2064552
38,35,161,674715,2064552
23,35,111,1327629,2064552
50,35,103,625879,2064552
11,35,93,605226,2064552
54,35,105,1854239,2064552
44,35,62,1053959,2064552
10,35,48,899593,2064552
34,36,33418,8799446,19399878
12,36,29124,18845537,19399878
42,36,19294,12711160,19399878
6,36,17025,37319502,19399878
25,36,10821,6566307,19399878
9,36,11276,3579114,19399878
48,36,10197,25241971,19399878
37,36,10171,9574323,19399878
51,36,9035,8023699,19399878
13,36,9101,9711881,19399878
17,36,6057,12840503,19399878
24,36,5983,5788645,19399878
39,36,5487,11539336,19399878
26,36,3998,9877510,19399878
45,36,4204,4635649,19399878
4,36,3522,6407172,19399878
53,36,3040,6742830,19399878
8,36,2973,5047349,19399878
11,36,2106,605226,19399878
47,36,2528,6355311,19399878
50,36,1899,625879,19399878
29,36,2027,5995974,19399878
